City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,kholm,59.27,32.85,49.42,84,0,3.67,RU,1597893393
89,new norfolk,-42.78,147.06,55.99,71,23,5.01,AU,1597893394
90,ahipara,-35.17,173.17,62.83,73,0,17.11,NZ,1597893394
91,bredasdorp,-34.53,20.04,50.0,81,79,6.93,ZA,1597893394
92,payyannur,12.1,75.2,77.0,100,40,1.92,IN,1597893394
93,kismayo,-0.36,42.55,76.48,86,31,12.55,SO,1597893394
94,beeville,28.4,-97.75,82.4,83,1,5.82,US,1597893395
95,yulara,-25.24,130.99,66.2,29,0,8.05,AU,1597893395
96,saint-philippe,-21.36,55.77,69.01,64,90,4.7,RE,1597893395
97,nombre de dios,23.85,-104.23,64.72,79,100,4.34,MX,1597893395
98,naryan-mar,67.67,53.09,52.99,90,100,11.14,RU,1597893395
99,maraba,-5.37,-49.12,78.8,83,29,3.36,BR,1597893396
100,gualeguay,-33.14,-59.31,38.98,74,0,7.29,AR,1597893396
101,yellowknife,62.46,-114.35,59.0,93,90,6.93,CA,1597893355
102,bah,26.87,78.6,84.0,87,100,9.73,IN,1597893396
103,bonthe,7.53,-12.51,75.33,92,100,12.21,SL,1597893396
104,yamada,39.47,141.95,88.2,49,0,2.73,JP,1597893397
105,mikhaylovka,50.06,43.24,61.0,62,89,1.99,RU,1597893397
106,avarua,-21.21,-159.78,75.2,78,98,24.16,CK,1597893397
107,lujan,-34.57,-59.1,41.0,92,0,6.73,AR,1597893397
108,caohai,26.87,104.28,66.34,76,39,4.16,CN,1597893397
109,ixtapa,20.7,-105.2,82.4,83,90,2.35,MX,1597893397
110,katsuura,35.13,140.3,93.99,66,20,16.11,JP,1597893398
111,voi,-3.39,38.56,65.7,84,76,5.86,KE,1597893398
112,alta floresta,-9.88,-56.09,76.17,30,0,1.63,BR,1597893398
113,upernavik,72.79,-56.15,48.6,70,29,2.62,GL,1597893398
114,mar del plata,-38.0,-57.56,39.0,86,20,4.7,AR,1597893398
115,polson,47.69,-114.16,75.0,57,50,1.21,US,1597893398
116,hualmay,-11.1,-77.61,59.7,84,48,9.4,PE,1597893399
117,natchez,31.56,-91.4,78.8,65,1,6.93,US,1597893399
118,rocha,-34.48,-54.33,39.92,74,0,9.66,UY,1597893399
119,san miguel,13.48,-88.18,75.38,91,100,1.16,SV,1597893399
120,yakovlevka,44.42,133.48,69.67,43,97,7.38,RU,1597893399
121,kolaras,25.23,77.6,80.06,87,100,5.12,IN,1597893399
122,port alfred,-33.59,26.89,50.67,64,1,10.16,ZA,1597893399
123,laguna,38.42,-121.42,91.0,22,90,6.93,US,1597893400
124,plateros,23.22,-102.85,60.8,82,90,6.93,MX,1597893400
125,salalah,17.02,54.09,77.0,100,90,4.7,OM,1597893400
126,khilok,51.37,110.47,74.43,46,34,3.51,RU,1597893400
127,mandalgovi,45.76,106.27,66.54,34,40,18.57,MN,1597893401
128,provideniya,64.38,-173.3,59.0,72,20,13.42,RU,1597893401
129,grootfontein,-19.57,18.12,35.56,58,0,8.43,NA,1597893401
130,cape town,-33.93,18.42,55.0,81,75,5.82,ZA,1597893296
131,taltal,-25.4,-70.48,51.73,73,0,3.02,CL,1597893401
132,feltre,46.02,11.91,71.01,68,61,4.12,IT,1597893402
133,sobolevo,54.43,31.9,57.22,96,99,9.15,RU,1597893402
134,beian,63.66,9.57,55.99,100,75,3.36,NO,1597893402
135,vaini,-21.2,-175.2,75.2,88,90,10.29,TO,1597893402
136,dong hoi,17.48,106.6,86.05,68,100,3.11,VN,1597893402
137,sassandra,4.95,-6.08,73.47,93,87,5.21,CI,1597893403
138,pevek,69.7,170.31,42.89,82,100,10.51,RU,1597893403
139,hithadhoo,-0.6,73.08,83.53,66,74,2.57,MV,1597893403
140,andilamena,-17.02,48.58,57.38,91,78,5.7,MG,1597893403
141,saint-augustin,51.23,-58.65,56.61,96,49,5.1,CA,1597893403
142,karasburg,-28.02,18.75,42.31,47,0,8.88,NA,1597893403
143,general pico,-35.66,-63.76,34.2,85,0,4.83,AR,1597893184
144,inhambane,-23.86,35.38,65.7,73,67,9.42,MZ,1597893404
145,vao,-22.67,167.48,71.6,79,0,20.98,NC,1597893404
146,boysun,38.21,67.2,72.09,30,0,3.04,UZ,1597893404
147,wuan,31.68,112.0,72.77,95,100,6.73,CN,1597893405
148,erenhot,43.65,111.98,67.78,43,2,10.16,CN,1597893405
149,mairang,25.57,91.63,84.2,100,75,8.05,IN,1597893405
150,thompson,55.74,-97.86,66.2,68,90,3.36,CA,1597893123
151,port elizabeth,-33.92,25.57,46.4,81,6,6.93,ZA,1597893405
152,svetlogorsk,52.63,29.73,59.38,94,98,8.99,BY,1597893405
153,havre-saint-pierre,50.23,-63.6,60.8,82,90,8.05,CA,1597893406
154,vila franca do campo,37.72,-25.43,66.2,72,20,5.82,PT,1597893406
155,bulungu,-4.55,18.6,78.22,74,100,1.39,CD,1597893406
156,seoul,37.57,126.98,86.0,66,40,1.92,KR,1597893360
157,road town,18.42,-64.62,82.99,85,0,5.99,VG,1597893406
158,iskateley,67.68,53.15,52.99,90,100,11.21,RU,1597893407
159,paita,-5.09,-81.11,61.05,83,100,13.94,PE,1597893407
160,adrar,20.5,-10.07,92.43,36,11,12.3,MR,1597893407
161,lac du bonnet,50.25,-96.06,72.0,99,37,6.78,CA,1597893407
162,sao filipe,14.9,-24.5,77.27,82,24,10.85,CV,1597893407
163,carnot,4.94,15.87,70.61,91,100,1.88,CF,1597893408
164,guymon,36.68,-101.48,78.8,47,1,12.75,US,1597893129
165,aginskoye,51.1,114.53,65.82,60,0,12.71,RU,1597893408
166,cartagena,10.4,-75.51,81.09,83,100,5.17,CO,1597893390
167,nanakuli,21.39,-158.15,87.8,45,75,5.82,US,1597893408
168,tres arroyos,-38.37,-60.28,34.14,90,0,7.49,AR,1597893408
169,belaya gora,68.53,146.42,43.54,67,95,8.3,RU,1597893409
170,catuday,16.29,119.81,81.05,78,97,3.76,PH,1597893409
171,namibe,-15.2,12.15,62.78,89,31,2.15,AO,1597893409
172,murdochville,48.96,-65.5,49.59,89,4,11.43,CA,1597893409
173,rawson,-43.3,-65.1,42.69,59,0,11.56,AR,1597893345
174,kaitangata,-46.28,169.85,48.99,86,74,8.01,NZ,1597893410
175,kokopo,-4.35,152.26,82.09,75,99,11.65,PG,1597893411
176,omsukchan,62.53,155.8,47.1,90,100,7.0,RU,1597893411
177,alice springs,-23.7,133.88,66.2,24,0,8.05,AU,1597893411
178,mgandu,-5.95,34.13,57.61,88,45,8.41,TZ,1597893411
179,saint anthony,45.02,-93.22,77.0,61,1,8.05,US,1597893175
180,arraial do cabo,-22.97,-42.03,71.29,90,0,17.72,BR,1597893411
181,bell ville,-32.63,-62.69,35.26,68,0,7.7,AR,1597893412
182,ravanusa,37.27,13.97,72.0,69,0,3.87,IT,1597893412
183,burnie,-41.07,145.92,57.0,62,46,13.0,AU,1597893412
184,techiman,7.59,-1.94,69.33,93,95,8.63,GH,1597893412
185,georgetown,5.41,100.34,86.0,79,20,4.7,MY,1597893412
186,isangel,-19.55,169.27,78.8,69,20,5.82,VU,1597893412
187,sesheke,-17.48,24.3,46.4,26,16,4.7,ZM,1597893413
188,asau,46.43,26.4,60.01,99,97,3.36,RO,1597893413
189,ferkessedougou,9.6,-5.2,70.77,95,46,6.62,CI,1597893413
190,murray bridge,-35.12,139.27,55.99,76,14,11.99,AU,1597893275
191,gamba,-2.65,10.0,72.05,89,100,8.52,GA,1597893414
192,la libertad,-2.23,-80.9,66.2,93,75,11.41,EC,1597893414
193,victoria,22.29,114.16,87.01,80,68,11.01,HK,1597893138
194,noumea,-22.28,166.46,78.8,54,1,10.29,NC,1597893414
195,cherskiy,68.75,161.3,46.35,57,42,9.4,RU,1597893415
196,san andres,12.58,-81.7,82.4,83,75,4.7,CO,1597893415
197,tura,25.52,90.22,74.44,94,99,5.97,IN,1597893415
198,kieta,-6.22,155.63,83.44,70,6,4.12,PG,1597893415
199,walvis bay,-22.96,14.51,62.6,13,0,4.7,NA,1597893415
200,canete,-37.8,-73.4,39.78,73,0,6.17,CL,1597893416
201,acarau,-2.89,-40.12,75.33,85,69,11.56,BR,1597893416
202,khatanga,71.97,102.5,57.88,51,31,10.67,RU,1597893416
203,bitung,1.45,125.18,91.4,49,20,6.93,ID,1597893416
204,barra do garcas,-15.89,-52.26,75.09,35,0,1.92,BR,1597893416
205,camacupa,-12.02,17.48,52.25,42,0,7.23,AO,1597893417
206,new sibonga,7.56,125.93,87.8,66,75,6.93,PH,1597893417
207,faanui,-16.48,-151.75,77.95,78,31,21.74,PF,1597893417
208,lebu,-37.62,-73.65,43.86,74,0,18.07,CL,1597893417
209,jumla,29.27,82.18,63.55,70,100,1.54,NP,1597893418
210,ballina,-28.87,153.57,71.01,32,0,18.34,AU,1597893418
211,mahebourg,-20.41,57.7,68.0,82,75,4.7,MU,1597893418
212,caravelas,-17.71,-39.25,72.14,86,1,7.9,BR,1597893419
213,labuhan,-6.88,112.21,84.92,60,99,7.7,ID,1597893419
214,pisco,-13.7,-76.22,60.8,82,27,6.93,PE,1597893419
215,acapulco,16.86,-99.89,80.6,88,90,11.41,MX,1597893419
216,taungdwingyi,20.02,95.55,77.09,88,100,8.77,MM,1597893419
217,chapais,49.78,-74.85,48.2,93,1,5.82,CA,1597893420
218,bengkulu,-3.8,102.27,84.85,63,100,4.05,ID,1597893364
219,richards bay,-28.78,32.04,55.27,72,42,5.17,ZA,1597893420
220,talnakh,69.49,88.4,68.0,34,100,15.66,RU,1597893420
221,port-gentil,-0.72,8.78,74.12,86,100,17.22,GA,1597893420
222,fort nelson,58.81,-122.7,68.0,45,75,5.82,CA,1597893355
223,hofn,64.25,-15.21,46.76,73,61,12.8,IS,1597893421
224,orotukan,62.27,151.7,42.94,90,100,12.33,RU,1597893421
225,markova,48.68,24.41,64.4,93,75,4.47,UA,1597893421
226,minggang,32.46,114.05,72.01,94,100,8.7,CN,1597893421
227,dunedin,-45.87,170.5,52.0,81,67,4.63,NZ,1597893421
228,norman wells,65.28,-126.83,60.8,63,20,4.7,CA,1597893422
229,dothan,31.22,-85.39,73.4,88,1,5.82,US,1597893315
230,thunder bay,48.4,-89.32,61.0,100,75,4.7,CA,1597893348
231,luderitz,-26.65,15.16,58.1,34,0,9.24,NA,1597893422
232,lavrentiya,65.58,-171.0,56.17,63,63,10.63,RU,1597893422
233,livingston,55.9,-3.52,64.4,93,20,9.17,GB,1597893294
234,coihaique,-45.58,-72.07,37.4,84,82,3.36,CL,1597893423
235,puerto ayora,-0.74,-90.35,66.99,92,94,8.01,EC,1597893423
236,esperance,-33.87,121.9,55.4,93,90,12.75,AU,1597893423
237,norden,53.6,7.2,68.0,68,75,4.7,DE,1597893423
238,bilma,18.69,12.92,88.83,14,36,5.75,NE,1597893423
239,manado,1.49,124.85,91.4,49,20,6.93,ID,1597893424
240,dudinka,69.41,86.18,68.0,34,100,15.66,RU,1597893176
241,kaya,13.09,-1.08,77.72,79,40,7.52,BF,1597893424
242,roma,43.21,-75.46,57.2,82,1,0.4,US,1597893411
243,mecca,21.43,39.83,89.44,28,72,2.75,SA,1597893223
244,ingham,42.6,-84.38,60.8,77,1,3.36,US,1597893425
245,san cristobal,7.77,-72.22,66.88,91,97,1.97,VE,1597893131
246,mugur-aksy,50.35,90.5,56.14,46,0,4.21,RU,1597893425
247,nemuro,43.32,145.57,75.2,88,75,4.7,JP,1597893425
248,vilyuysk,63.76,121.62,58.95,48,0,6.89,RU,1597893425
249,yatou,37.15,122.38,75.18,95,99,7.11,CN,1597893425
250,chuy,-33.7,-53.46,41.27,79,29,9.19,UY,1597893426
251,gurupa,-1.41,-51.64,76.48,83,98,4.18,BR,1597893426
252,villarrica,-25.75,-56.43,54.45,64,68,13.65,PY,1597893426
253,san estanislao,10.4,-75.15,78.8,94,75,3.36,CO,1597893426
254,gazanjyk,39.24,55.52,79.65,29,0,4.36,TM,1597893426
255,champerico,14.3,-91.92,81.84,73,100,3.56,GT,1597893427
256,sitka,57.05,-135.33,64.4,59,75,4.7,US,1597893427
257,airai,-8.93,125.41,77.97,30,0,3.91,TL,1597893427
258,parabel,58.7,81.48,56.53,92,97,9.1,RU,1597893427
259,rosario oeste,-14.84,-56.43,80.55,27,14,1.66,BR,1597893427
260,mogadishu,2.04,45.34,76.03,87,67,13.22,SO,1597893428
261,cap malheureux,-19.98,57.61,66.0,70,11,3.0,MU,1597893428
262,kahului,20.89,-156.47,84.2,51,75,21.92,US,1597893428
263,brigham city,41.51,-112.02,89.6,18,1,4.36,US,1597893428
264,camacha,33.08,-16.33,73.4,83,40,6.93,PT,1597893429
265,te anau,-45.42,167.72,52.07,74,100,0.81,NZ,1597893429
266,liverpool,53.41,-2.98,64.4,72,89,13.87,GB,1597893299
267,sakakah,29.97,40.21,78.8,22,0,4.7,SA,1597893429
268,mehamn,71.04,27.85,49.51,86,99,11.79,NO,1597893430
269,bull savanna,17.89,-77.59,79.07,83,11,4.05,JM,1597893430
270,henties bay,-22.12,14.28,63.91,27,0,11.79,NA,1597893430
271,dikson,73.51,80.55,50.43,66,0,15.82,RU,1597893430
272,tambopata,-12.73,-69.18,81.36,61,80,1.97,PE,1597893430
273,grindavik,63.84,-22.43,46.4,100,90,5.82,IS,1597893431
274,saint-denis,48.92,2.33,71.01,83,51,4.7,FR,1597893431
275,mizdah,31.45,12.98,71.44,64,0,0.43,LY,1597893431
276,komsomolskiy,40.43,71.72,71.6,64,0,2.24,UZ,1597893431
277,opuwo,-18.06,13.84,48.07,39,0,8.7,NA,1597893431
278,sao miguel,-5.47,-35.37,71.6,94,100,4.7,BR,1597893431
279,plettenberg bay,-34.05,23.37,52.52,57,63,6.38,ZA,1597893431
280,tuktoyaktuk,69.45,-133.04,53.6,81,75,11.41,CA,1597893432
281,la ronge,55.1,-105.28,64.4,88,40,2.24,CA,1597893432
282,santa fe,-31.63,-60.7,45.0,46,4,3.0,AR,1597893432
283,high level,58.52,-117.14,64.4,52,1,3.36,CA,1597893432
284,severo-yeniseyskiy,60.37,93.04,60.46,84,33,6.69,RU,1597893432
285,maputo,-25.97,32.59,57.2,71,20,11.41,MZ,1597893433
286,maceio,-9.67,-35.74,69.8,100,20,3.36,BR,1597893433
287,sawakin,19.11,37.33,88.81,60,15,3.38,SD,1597893433
288,blackwater,-23.58,148.88,75.88,19,0,13.44,AU,1597893433
289,bani,18.28,-70.33,84.0,77,44,5.01,DO,1597893433
290,askino,56.09,56.58,45.41,92,100,14.36,RU,1597893434
291,huicungo,-7.28,-76.8,74.79,81,98,2.71,PE,1597893434
292,el dorado,33.21,-92.67,73.4,78,1,5.59,US,1597893434
293,ilulissat,69.22,-51.1,51.8,43,0,3.36,GL,1597893434
294,georgiyevka,43.04,74.71,66.2,59,0,4.47,KZ,1597893434
295,kemlya,54.7,45.24,46.94,78,0,3.89,RU,1597893435
296,verkhoyansk,67.54,133.38,49.89,49,66,14.25,RU,1597893435
297,kerema,-7.96,145.78,79.61,75,45,7.78,PG,1597893435
298,finschhafen,-6.6,147.87,81.23,75,60,7.36,PG,1597893435
299,qaqortoq,60.72,-46.03,50.0,66,11,4.7,GL,1597893436
300,lipin bor,60.26,37.98,49.55,87,0,3.04,RU,1597893436
301,dongsheng,39.82,109.98,72.07,43,0,6.08,CN,1597893436
302,cabo san lucas,22.89,-109.91,78.01,94,100,20.0,MX,1597893189
303,saint-pierre,-21.34,55.48,69.01,64,90,4.7,RE,1597893436
304,linxia,35.6,103.21,72.79,47,0,3.0,CN,1597893437
305,kloulklubed,7.04,134.26,86.0,74,75,8.05,PW,1597893437
306,bassano,50.78,-112.47,75.99,49,23,6.93,CA,1597893437
307,bandarbeyla,9.49,50.81,78.44,72,0,24.02,SO,1597893437
308,puerto escondido,15.85,-97.07,80.83,76,90,4.09,MX,1597893437
309,vysokogornyy,50.12,139.15,61.45,46,0,16.17,RU,1597893437
310,tiksi,71.69,128.87,39.96,89,100,6.26,RU,1597893438
311,baykit,61.67,96.37,56.8,86,100,3.33,RU,1597893438
312,sendai,38.27,140.87,84.2,74,20,9.17,JP,1597893356
313,clyde river,70.47,-68.59,44.6,93,1,3.36,CA,1597893438
314,kirakira,-10.45,161.92,84.65,71,87,6.62,SB,1597893439
315,gavle,60.67,17.14,59.0,88,36,6.8,SE,1597893439
316,calvia,39.57,2.51,73.99,64,0,4.7,ES,1597893439
317,saint-dizier,48.42,5.08,68.0,82,10,8.05,FR,1597893440
318,torbay,47.67,-52.73,63.0,93,90,14.99,CA,1597893441
319,batouri,4.43,14.37,68.68,98,100,3.4,CM,1597893441
320,dzaoudzi,-12.79,45.27,69.8,94,20,3.36,YT,1597893441
321,litovko,49.24,135.17,70.36,54,0,8.46,RU,1597893442
